down,first_down,game_id,play_id,play_type,yards_gained,ydstogo
3,0,1,1,pass,2,8
2,1,1,2,run,59,9
2,0,1,3,run,0,7
3,0,1,4,pass,10,11
2,0,1,5,pass,0,10
1,0,1,6,pass,-5,10
3,0,1,7,run,2,10
1,0,1,8,run,0,10
1,0,1,9,run,0,10
1,1,1,10,pass,23,10
1,0,1,11,run,8,10
2,0,1,12,run,-4,10
4,1,1,13,run,6,1
2,1,1,14,pass,12,6
3,1,1,15,pass,10,9
1,0,1,16,pass,2,10
3,1,1,17,pass,3,2
1,0,1,18,run,7,10
1,0,1,19,pass,0,10
3,0,1,20,run,2,4
3,0,1,21,run,3,10
3,0,1,22,run,-5,3
2,0,1,23,run,-3,10
2,0,1,24,pass,4,7
3,0,1,25,run,0,3
1,0,1,26,run,-6,10
2,0,1,27,run,8,12
2,1,1,28,pass,7,7
2,0,1,29,run,3,8
1,1,1,30,pass,13,10
1,0,1,31,run,3,10
1,0,1,32,run,3,10
1,0,1,33,run,0,10
3,1,1,34,pass,19,1
1,0,1,35,run,8,10
1,0,1,36,pass,0,10
2,0,1,37,pass,4,11
4,1,1,38,run,3,2
1,0,1,39,run,2,10
1,1,1,40,pass,12,10
1,0,1,41,run,2,10
2,0,1,42,pass,3,8
1,0,1,43,run,3,10
1,0,1,44,pass,-6,10
3,1,1,45,pass,13,5
3,0,1,46,run,5,12
1,1,1,47,pass,42,10
1,0,1,48,pass,0,10
3,0,1,49,run,2,9
1,0,1,50,run,3,10
2,0,1,51,pass,3,10
2,0,1,52,pass,0,6
2,0,1,53,pass,0,11
1,0,1,54,run,4,10
1,1,1,55,pass,10,10
3,1,1,56,pass,18,6
3,1,1,57,pass,12,1
2,1,1,58,run,13,2
2,0,1,59,run,3,8
1,0,1,60,pass,0,10
3,0,1,61,run,6,10
3,0,1,62,pass,2,15
2,0,1,63,pass,3,4
2,1,1,64,run,44,8
3,0,1,65,pass,0,1
3,0,1,66,run,0,2
3,0,1,67,pass,3,5
2,1,1,68,run,6,5
3,0,1,69,pass,-3,11
3,0,1,70,run,3,6
2,0,1,71,pass,0,7
3,0,1,72,run,8,20
3,0,1,73,pass,3,9
4,1,1,74,pass,23,1
2,1,1,75,run,52,2
2,0,1,76,pass,2,3
3,0,1,77,pass,3,9
2,1,1,78,pass,18,6
1,1,1,79,pass,18,10
2,0,1,80,pass,2,7
1,0,1,81,pass,0,10
3,0,1,82,pass,11,15
1,0,1,83,pass,0,10
1,0,1,84,run,3,10
2,0,1,85,run,6,9
3,0,1,86,pass,0,9
1,0,1,87,pass,2,10
2,0,1,88,pass,3,12
3,0,1,89,pass,2,4
4,0,1,90,pass,3,15
2,0,1,91,run,2,9
2,1,1,92,run,12,2
1,0,1,93,run,2,10
2,0,1,94,pass,0,4
2,0,1,95,run,4,8
1,0,1,96,run,-4,10
3,0,1,97,pass,0,9
1,0,1,98,run,0,10
2,1,1,99,pass,8,4
2,1,1,100,pass,10,7
1,0,1,101,pass,-3,10
3,0,1,102,pass,0,10
2,0,1,103,pass,0,7
3,0,1,104,pass,-11,4
1,0,1,105,run,5,10
3,1,1,106,run,21,3
1,0,1,107,pass,3,10
3,0,1,108,pass,10,11
2,0,1,109,run,6,9
2,0,1,110,pass,0,2
2,0,1,111,run,7,10
3,1,1,112,pass,40,2
2,0,1,113,pass,4,5
4,1,1,114,pass,20,2
2,1,1,115,pass,12,12
1,0,1,116,run,3,10
2,1,1,117,run,15,7
2,0,1,118,run,0,7
2,0,1,119,pass,3,13
2,0,1,120,run,3,4
2,0,1,121,pass,0,10
1,0,1,122,run,0,10
1,0,1,123,run,0,10
3,1,1,124,run,2,1
3,0,1,125,run,1,6
1,0,1,126,pass,3,10
1,0,1,127,run,0,10
1,0,1,128,pass,8,10
3,1,1,129,run,3,2
2,1,1,130,pass,8,5
3,0,1,131,pass,2,9
3,0,1,132,pass,-6,5
1,0,1,133,pass,-7,10
3,0,1,134,pass,-6,1
3,1,1,135,pass,65,7
2,0,1,136,run,2,3
1,0,1,137,run,-2,10
1,0,1,138,run,3,10
1,0,1,139,run,-7,10
1,0,1,140,pass,0,10
2,0,1,141,run,3,4
2,1,1,142,pass,9,3
3,1,1,143,pass,3,2
3,1,1,144,pass,10,3
1,1,1,145,pass,31,10
4,1,1,146,run,15,1
4,0,1,147,pass,0,3
3,0,1,148,pass,0,9
4,1,1,149,run,3,3
2,1,1,150,pass,10,7
3,0,2,1,run,2,3
3,0,2,2,run,0,20
2,1,2,3,run,2,1
1,1,2,4,pass,40,10
2,1,2,5,pass,12,11
3,0,2,6,pass,0,8
3,1,2,7,pass,10,4
1,0,2,8,pass,-4,10
1,0,2,9,run,3,10
3,1,2,10,pass,21,1
1,0,2,11,run,-2,10
3,0,2,12,pass,0,2
1,1,2,13,pass,10,10
3,0,2,14,run,1,5
2,0,2,15,run,3,5
2,0,2,16,pass,0,9
1,0,2,17,run,0,10
1,0,2,18,run,3,10
1,0,2,19,pass,0,10
2,1,2,20,pass,14,7
1,0,2,21,pass,0,10
2,1,2,22,pass,20,10
1,0,2,23,pass,1,10
2,1,2,24,pass,9,7
1,0,2,25,run,0,10
3,1,2,26,run,3,1
1,1,2,27,pass,14,10
2,0,2,28,run,-4,3
2,0,2,29,pass,0,7
3,0,2,30,pass,0,3
2,0,2,31,run,4,9
2,1,2,32,run,1,1
1,0,2,33,run,2,10
4,0,2,34,pass,7,10
3,0,2,35,pass,2,4
2,0,2,36,run,2,10
2,0,2,37,pass,-7,7
2,0,2,38,pass,3,8
2,1,2,39,pass,20,8
3,0,2,40,run,0,1
2,1,2,41,pass,21,6
3,0,2,42,run,3,5
1,0,2,43,pass,3,10
1,0,2,44,pass,-5,10
2,0,2,45,run,0,4
2,0,2,46,pass,4,11
2,0,2,47,run,3,6
2,1,2,48,run,14,8
1,0,2,49,pass,-7,10
2,1,2,50,pass,8,7
3,1,2,51,run,4,4
1,0,2,52,pass,-9,10
1,0,2,53,pass,-7,10
2,0,2,54,pass,3,5
2,0,2,55,pass,4,7
2,0,2,56,pass,1,8
1,0,2,57,pass,0,10
2,0,2,58,run,6,9
2,0,2,59,run,2,8
1,1,2,60,pass,12,10
3,1,2,61,run,3,2
4,1,2,62,pass,16,1
2,0,2,63,run,3,9
3,0,2,64,pass,0,11
1,0,2,65,pass,0,10
1,0,2,66,run,3,10
2,1,2,67,pass,21,5
2,0,2,68,pass,2,4
1,0,2,69,pass,0,10
1,1,2,70,pass,24,10
1,0,2,71,pass,3,10
3,0,2,72,pass,3,11
2,0,2,73,pass,0,5
3,0,2,74,pass,0,7
1,0,2,75,run,3,10
4,1,2,76,run,4,1
3,0,2,77,pass,2,4
4,1,2,78,pass,18,4
1,0,2,79,run,7,10
4,0,2,80,run,2,3
2,1,2,81,pass,73,9
2,0,2,82,pass,3,7
4,1,2,83,run,2,1
3,0,2,84,pass,0,6
1,0,2,85,pass,0,10
3,0,2,86,pass,-10,2
2,0,2,87,run,2,8
3,1,2,88,pass,9,7
1,0,2,89,run,2,10
3,1,2,90,pass,21,7
2,1,2,91,pass,4,1
1,1,2,92,run,16,10
2,0,2,93,run,2,7
2,1,2,94,run,6,1
1,1,2,95,pass,24,10
3,0,2,96,run,2,10
2,0,2,97,pass,0,7
4,0,2,98,pass,2,10
1,0,2,99,run,7,10
1,0,2,100,pass,0,10
2,0,2,101,run,0,8
3,0,2,102,run,0,2
2,0,2,103,pass,-7,10
3,0,2,104,run,3,4
2,1,2,105,run,15,5
2,1,2,106,pass,21,7
1,0,2,107,pass,4,10
3,1,2,108,pass,2,2
2,0,2,109,run,0,7
3,0,2,110,pass,3,10
2,0,2,111,pass,0,10
3,0,2,112,pass,1,6
3,0,2,113,pass,2,11
1,0,2,114,pass,0,10
1,0,2,115,run,3,10
3,1,2,116,pass,9,1
2,1,2,117,run,6,6
2,0,2,118,pass,0,7
1,0,2,119,run,8,10
2,1,2,120,pass,13,9
2,0,2,121,run,0,7
1,0,2,122,pass,3,10
2,1,2,123,pass,13,9
1,0,2,124,run,3,10
4,1,2,125,run,7,1
2,0,2,126,run,-5,8
1,0,2,127,run,7,10
2,0,2,128,pass,3,7
1,0,2,129,pass,3,10
1,0,2,130,pass,0,10
1,1,2,131,pass,43,10
2,0,2,132,run,-2,7
2,0,2,133,run,0,5
1,0,2,134,run,2,10
2,0,2,135,pass,0,7
1,0,2,136,pass,3,10
2,1,2,137,run,2,2
2,1,2,138,pass,11,5
1,1,2,139,pass,34,10
2,0,2,140,pass,4,7
1,0,2,141,run,7,10
3,0,2,142,pass,4,5
2,1,2,143,run,8,3
1,1,2,144,run,30,10
1,0,2,145,pass,-4,10
4,1,2,146,pass,20,10
3,1,2,147,run,6,1
3,1,2,148,run,3,1
2,1,2,149,pass,12,7
1,0,2,150,pass,7,10
1,0,2,151,run,4,10
1,0,2,152,run,3,10
2,0,2,153,run,-7,6
1,0,2,154,pass,0,10
2,0,2,155,run,2,8
2,0,2,156,pass,4,10
1,1,2,157,pass,22,10
1,0,2,158,run,7,10
1,0,2,159,run,3,10
1,0,2,160,pass,2,10
1,0,2,161,run,1,10
1,0,2,162,pass,3,10
2,0,2,163,run,5,13
2,0,2,164,pass,0,7
2,0,3,1,run,3,8
2,0,3,2,run,3,7
2,0,3,3,run,6,7
1,0,3,4,pass,0,10
2,0,3,5,run,3,9
1,1,3,6,pass,10,10
1,0,3,7,run,-4,10
2,1,3,8,pass,22,10
4,0,3,9,run,0,10
2,0,3,10,pass,0,5
3,0,3,11,pass,0,15
1,0,3,12,pass,3,10
4,1,3,13,run,3,3
2,0,3,14,pass,0,7
1,0,3,15,run,2,10
3,0,3,16,pass,0,4
2,0,3,17,pass,0,6
1,0,3,18,pass,0,10
1,0,3,19,pass,4,10
1,0,3,20,run,7,10
1,0,3,21,run,2,10
3,1,3,22,pass,10,6
3,0,3,23,pass,2,8
1,0,3,24,pass,4,10
1,0,3,25,pass,9,10
3,0,3,26,pass,5,9
1,0,3,27,run,-3,10
2,1,3,28,run,16,6
1,0,3,29,run,3,10
2,1,3,30,pass,56,2
1,0,3,31,run,-6,10
2,0,3,32,run,2,8
1,0,3,33,run,4,10
1,0,3,34,pass,9,10
2,0,3,35,pass,0,7
3,1,3,36,pass,9,6
3,1,3,37,pass,42,10
1,0,3,38,run,3,10
3,0,3,39,pass,0,7
2,0,3,40,pass,9,15
2,1,3,41,run,14,3
3,0,3,42,pass,0,5
2,0,3,43,run,7,8
1,0,3,44,run,7,10
2,1,3,45,pass,14,12
1,0,3,46,run,2,10
1,0,3,47,pass,2,10
1,0,3,48,run,3,10
2,0,3,49,run,2,6
1,0,3,50,run,7,10
4,1,3,51,pass,18,10
4,1,3,52,run,3,2
1,0,3,53,pass,9,10
3,1,3,54,pass,52,9
1,0,3,55,pass,9,10
2,1,3,56,pass,33,9
2,1,3,57,run,2,1
1,0,3,58,run,3,10
1,0,3,59,pass,0,10
1,0,3,60,run,4,10
3,1,3,61,pass,11,10
2,0,3,62,run,1,12
1,0,3,63,run,3,10
2,0,3,64,pass,-4,4
1,0,3,65,run,3,10
2,1,3,66,pass,13,3
1,0,3,67,pass,0,10
4,0,3,68,pass,-6,2
3,1,3,69,pass,9,6
3,1,3,70,pass,9,4
3,0,3,71,run,2,3
2,0,3,72,pass,3,7
2,0,3,73,pass,2,8
1,0,3,74,run,2,10
3,1,3,75,run,3,3
2,0,3,76,pass,0,2
2,0,3,77,pass,-3,1
4,0,3,78,pass,7,15
3,1,3,79,pass,21,3
3,0,3,80,pass,-6,6
1,0,3,81,pass,8,10
1,0,3,82,run,3,10
1,0,3,83,run,3,10
4,0,3,84,pass,2,15
2,1,3,85,pass,17,8
3,0,3,86,pass,0,4
1,0,3,87,run,2,10
1,0,3,88,run,0,10
1,0,3,89,run,3,10
1,0,3,90,run,6,10
3,0,3,91,run,2,9
2,0,3,92,run,2,7
2,0,3,93,pass,3,5
3,0,3,94,pass,4,9
2,0,3,95,pass,-11,7
3,0,3,96,run,-4,6
1,0,3,97,run,3,10
1,0,3,98,pass,1,10
1,0,3,99,pass,3,10
2,0,3,100,run,2,8
3,0,3,101,pass,0,11
3,1,3,102,pass,12,7
1,0,3,103,pass,0,10
1,0,3,104,pass,0,10
1,1,3,105,pass,23,10
1,0,3,106,pass,0,10
3,1,3,107,pass,7,1
4,0,3,108,pass,-9,2
4,0,3,109,pass,0,1
1,1,3,110,pass,20,10
1,0,3,111,run,2,10
3,1,3,112,run,3,3
3,0,3,113,run,-7,12
2,0,3,114,pass,3,8
2,0,3,115,pass,-7,2
1,0,3,116,run,3,10
1,0,3,117,pass,0,10
2,1,3,118,pass,10,8
4,1,3,119,run,3,1
3,1,3,120,pass,14,3
1,0,3,121,run,2,10
1,0,3,122,pass,0,10
3,0,3,123,pass,2,4
2,0,3,124,pass,3,6
3,0,3,125,run,-4,3
2,0,3,126,pass,4,6
1,0,3,127,pass,0,10
2,0,3,128,pass,4,15
1,0,3,129,pass,4,10
3,1,3,130,pass,12,10
3,0,3,131,pass,2,20
3,0,3,132,run,2,11
2,0,3,133,run,0,8
3,1,3,134,run,17,2
2,1,3,135,pass,9,6
3,0,3,136,pass,-5,5
2,0,3,137,pass,4,13
1,0,3,138,pass,-6,10
4,1,3,139,pass,3,2
2,0,3,140,pass,0,9
1,0,3,141,run,2,10
2,0,3,142,pass,-6,9
2,0,3,143,pass,0,9
4,1,3,144,pass,12,5
1,0,3,145,run,-4,10
3,0,3,146,pass,0,7
1,0,3,147,pass,8,10
3,0,3,148,run,-5,5
1,0,3,149,pass,9,10
2,0,3,150,pass,0,11
1,0,3,151,pass,0,10
1,0,3,152,run,-3,10
1,0,3,153,pass,0,10
3,1,3,154,pass,60,9
1,0,3,155,run,0,10
2,0,3,156,pass,0,8
2,0,3,157,pass,-3,8
1,0,3,158,pass,6,10
1,0,3,159,run,0,10
2,1,3,160,pass,10,8
3,0,3,161,run,2,7
2,0,3,162,run,7,8
2,1,3,163,run,6,3
3,0,3,164,run,0,3
1,0,3,165,pass,0,10
1,0,3,166,pass,0,10
